City,Agartala,Ahmedabad,Aizawl,Bengaluru,Bhopal,Bhubaneswar,Chandigarh,Chennai,Dehradun,Delhi,Gangtok,Gurugram,Guwahati,Hyderabad,Imphal,Itanagar,Jaipur,Kohima,Kolkata,Lucknow,Mumbai,Panaji,Patna,Raipur,Ranchi,Shillong,Shimla,Thiruvananthapuram,Visakhapatnam
Agartala,0.9999999999999998,0.02529268060059629,0.13017898885883014,-0.10676522104565347,-0.4060488869915554,0.4305721549248555,-0.3045511375351746,0.22272218831345553,-0.3212994589126831,-0.007987397728034293,-0.2776141178656547,0.10243496305926056,0.4658141658468988,-0.3256442740707748,0.01115083751748079,0.10501322783580233,-0.3328357201459377,0.006010985936472213,0.45030067324440126,0.016084774773142498,-0.11489544827414051,0.3575219730674781,0.07574265549104627,-0.002971913751026811,-0.5577346492548261,-0.320415853779595,-0.5567981957625189,0.18591055180575983,0.3056744981325363
Ahmedabad,0.02529268060059629,0.9999999999999998,-0.09992744654225977,0.3640133007943107,0.5630722877933031,-0.12042325170042302,0.3463269531318457,0.2691010349903416,-0.3017142408995302,0.07381530432634764,-0.6269881693111142,0.03833812823897961,-0.34977235037720583,0.6759118463113732,0.0024575615792568496,-0.19459760527135014,0.7147704392949918,-0.4407178364174473,-0.17464047474979572,0.1406071775660743,-0.18785934422867817,0.12178278576477729,-0.03492507879136335,0.2703428003700271,-0.03055165393895979,-0.41667749114261904,-0.363009555650161,-0.2777685072108649,0.13875126611887767
Aizawl,0.13017898885883014,-0.09992744654225977,0.9999999999999998,0.31273310289743267,-0.02401833967776073,-0.38453709214953563,-0.6443554581223945,-0.08395388323569218,0.35308935609765596,-0.7012312137269194,0.5877877024938714,-0.6217503605927348,0.624478950746881,-0.17711454793410772,0.9399093104407684,0.8312210426459353,-0.3886008376304312,0.7496179522903705,-0.6190600526311373,-0.7907143791297063,-0.8433970492417932,0.38207014531877903,-0.8291422964112967,-0.4924534619534504,-0.5287470732351258,0.6876347629679421,0.49667626508957025,0.40349473744614184,-0.3403441189023119
Bengaluru,-0.10676522104565347,0.3640133007943107,0.31273310289743267,0.9999999999999999,0.329693722413068,-0.4028484710365994,-0.1883349454146189,0.4219075458541328,-0.3023961719352116,-0.4008077372969133,-0.039976226326803956,-0.3851185619516282,-0.2542240224763774,0.6068847816456311,0.46900585546595724,0.016710413658999855,0.06621038669771724,0.14484710425162556,-0.6169854697908876,-0.5523471680860803,-0.34912946212876583,0.4170756768315953,-0.5607049749112589,-0.3190565020715671,-0.06779506574635216,0.4480468640585031,0.2337178140817427,0.28944751148615194,-0.004863543294140254
Bhopal,-0.4060488869915554,0.5630722877933031,-0.02401833967776073,0.329693722413068,1.0000000000000002,0.09343401641529919,0.18172667174070478,0.4552913449760806,0.09386036792068705,-0.4292006870620878,-0.1325270125743156,-0.4650127756336857,-0.13997500799831042,0.8215956926241685,0.040775282098253825,0.11227889445362466,0.6340993377588782,-0.20308744104689425,-0.5877163393611855,0.05998436830606706,-0.08859093815460618,0.16915111213039852,-0.035046739574910245,-0.35255698862184276,0.5979851833710408,0.15878858460919063,0.11138174880893051,0.19058401377268822,-0.5314344143121745
Bhubaneswar,0.4305721549248555,-0.12042325170042302,-0.38453709214953563,-0.4028484710365994,0.09343401641529919,1.0,-0.048890296817798315,0.5893758435819751,-0.25816817329225716,-0.04030148126153702,-0.3662052910966241,-0.04841282839269364,0.3437458164427176,-0.01273059474865101,-0.547566615362544,-0.048621885611694116,-0.15030709445253515,-0.34003283228846365,0.5034997556173879,0.4032900021554026,0.5055536214606036,0.24384783100494936,0.546301288567696,-0.00935708039694167,0.3190810283065878,-0.4097012610776839,-0.6655073494138063,0.36332284479743904,0.17168605218826496
Chandigarh,-0.3045511375351746,0.3463269531318457,-0.6443554581223945,-0.1883349454146189,0.18172667174070478,-0.048890296817798315,1.0,-0.276555613583406,0.15270932960479153,0.7122417225968057,-0.558553209183647,0.5972645663020697,-0.7204774712271194,0.3545603483762909,-0.4715829848830264,-0.7399451566939722,0.7504359870966977,-0.8146848883654809,0.31074337467799873,0.7699012329552899,0.22043151540806954,-0.749771070409077,0.6875288562254316,0.37424544597682813,0.3768658486368797,-0.47879035971670686,-0.12541977145371927,-0.7903647351295572,0.1436182055875424
Chennai,0.22272218831345553,0.2691010349903416,-0.08395388323569218,0.4219075458541328,0.4552913449760806,0.5893758435819751,-0.276555613583406,0.9999999999999998,-0.4379635354533734,-0.47960081723965636,-0.30440400676382146,-0.5041329046461219,0.15073316893188698,0.5479337525743535,-0.13254133810264895,0.09700229575574103,-0.06792653101876658,-0.13607552462744668,-0.15084188671842086,-0.18443259229275655,0.26943422375914233,0.6407363950807586,-0.08044752645596509,-0.2334652270882739,0.29804108045737127,-0.022055114266896016,-0.42218411876685696,0.6728447751780864,0.1318300757039573
Dehradun,-0.3212994589126831,-0.3017142408995302,0.35308935609765596,-0.3023961719352116,0.09386036792068705,-0.25816817329225716,0.15270932960479153,-0.4379635354533734,0.9999999999999999,-0.1924895964439839,0.5237157925456379,-0.24242747699404588,0.19856563322742016,-0.08854653840410488,0.4060061479586108,0.3800547622261963,0.11125689646857495,0.16379750944673171,-0.35904203652804745,-0.02871276005131919,-0.3659585059128925,-0.5410049701091157,-0.08722757355768249,-0.3528819270658572,0.16185137066231803,0.48613117517299187,0.6766325823783708,-0.11522083005161404,-0.5943640661988236
Delhi,-0.007987397728034293,0.07381530432634764,-0.7012312137269194,-0.4008077372969133,-0.4292006870620878,-0.04030148126153702,0.7122417225968057,-0.47960081723965636,-0.1924895964439839,1.0,-0.5663163718667413,0.9546148144380748,-0.6311778336765677,-0.2020051066909032,-0.6127854744545381,-0.8343439576722095,0.3413310987183088,-0.6675848257216692,0.7373795826529941,0.7431929183428868,0.39164979136867606,-0.6774908730257201,0.7019929242464121,0.7275276485105457,-0.018638899308517948,-0.7099904377366343,-0.3726340206746749,-0.8409305670905701,0.5365391486498314
