Model,F1,Accuracy,Precision,Recall,Training Time,Inference Time
CatBoost,0.6792185137851376,0.7559846602142171,0.748342575113532,0.6432969367114549,164.51392090000445,0.045656400005100295
LightGBM,0.6304810460224776,0.7582792762034825,0.627907009064613,0.6375210841499502,43.43674249999458,0.06566049999673851
HistGradient Boosting,0.6010309208006763,0.7032164323088284,0.6537362761274734,0.5839019605396266,68.0794401000021,0.05129709999891929
XGBoost,0.5618892111249232,0.6797144830762146,0.6501829433657131,0.5472963886035683,24.587917099997867,0.028411900013452396
