Model,Accuracy,Precision,Recall,F1,Training Time,Inference Time,Baseline Accuracy,Baseline F1,F1 Improvement (%)
HistGradient Boosting,0.7032164323088284,0.6537362761274734,0.5839019605396266,0.6010309208006763,68.0794401000021,0.05129709999891929,0.6725209810475835,0.5959569638461063,1.2557930573283944
LightGBM,0.7582792762034825,0.627907009064613,0.6375210841499502,0.6304810460224776,43.43674249999458,0.06566049999673851,0.7102749569263261,0.63844476173655,-2.202621576195731
XGBoost,0.6797144830762146,0.6501829433657131,0.5472963886035683,0.5618892111249232,24.587917099997867,0.028411900013452396,0.6883847967795977,0.5849129551698417,-5.546713361580698
CatBoost,0.7559846602142171,0.748342575113532,0.6432969367114549,0.6792185137851376,164.51392090000445,0.045656400005100295,,,
