City,Agartala,Ahmedabad,Aizawl,Bengaluru,Bhopal,Bhubaneswar,Chandigarh,Chennai,Dehradun,Delhi,Gangtok,Gurugram,Guwahati,Hyderabad,Imphal,Itanagar,Jaipur,Kohima,Kolkata,Lucknow,Mumbai,Panaji,Patna,Raipur,Ranchi,Shillong,Shimla,Thiruvananthapuram,Visakhapatnam
Agartala,1.0,0.2220302704137497,0.20246139471483265,0.21097190118184134,0.23138040285445927,0.33772390210021863,0.23177704064895116,0.2680073195266637,0.24402028940719037,0.14373938674793268,0.1564446994385329,0.11448805011460407,0.3078795111499221,0.25433417052651225,0.2378397243343026,0.22081823040212004,0.22089343404369408,0.1612345424565013,0.28721881800627,0.23782696288107336,0.20662839627373683,0.23826027025513877,0.22823892200053666,0.19408624456690304,0.22921300066923472,0.19089230137568167,0.14722689341480028,0.22647858853944752,0.22525086461944602
Ahmedabad,0.2220302704137497,1.0,0.1648278413134256,0.22377572739246016,0.280654239090346,0.2094448172396468,0.24264560875323882,0.22799390890876642,0.1947068974629734,0.1382023895045902,0.12582953454712772,0.10889262479869471,0.18121282516776274,0.3061332638106031,0.19777823589052887,0.17061686802524784,0.31648063999218257,0.12793492516577393,0.18453307179302822,0.20951235768406795,0.1718908085084938,0.19010209895785105,0.1865711833890221,0.19454499490020968,0.21228129327691275,0.15729679531188512,0.1355364383793102,0.16532990597341568,0.18730236789245902
Aizawl,0.20246139471483265,0.1648278413134256,1.0,0.19815480867240112,0.1861819103428056,0.17255747654607378,0.1535484563892845,0.17620467588430958,0.21861807586361331,0.10294050368011927,0.20524967189958437,0.08725649916829233,0.25452942989951266,0.1838225326234101,0.39446740546496994,0.3239291533631867,0.15999689146860333,0.23584770725655135,0.14657221609017304,0.14091315195526238,0.13042144544005507,0.20135543454916774,0.13400797266855408,0.13390153450494474,0.1637195371616274,0.26193058311758377,0.19043332421828368,0.20624262174972033,0.14362489364938597
Bengaluru,0.21097190118184134,0.22377572739246016,0.19815480867240112,1.0,0.24172368015689935,0.19162117363258405,0.19285008160666464,0.24697937012569934,0.19332877226662787,0.11811339250972872,0.15024986548375918,0.09662829437589103,0.18543960271999707,0.28890310498303967,0.2502978253360365,0.18388134890924845,0.20632627565863232,0.15628862415953265,0.160851176856062,0.164042910068149,0.16216178421139443,0.22247788642475502,0.15650715056975,0.15235823085178218,0.20807211836829817,0.22889120199071375,0.16930717692814035,0.20877552345766426,0.17515748428703196
Bhopal,0.23138040285445927,0.280654239090346,0.1861819103428056,0.24172368015689935,1.0,0.26828492917510066,0.2596812226626252,0.2900441101893395,0.26232296567868685,0.12696537420560797,0.15760103000016382,0.1007887351830975,0.22380597665457455,0.4480106857666258,0.22885764731455496,0.21362830997079704,0.33160697429506725,0.1484369692854148,0.18724404678492274,0.23023205928653487,0.19951391751666112,0.2137677841036704,0.20998350526700366,0.16850969600501445,0.3476624925434909,0.21493449090985217,0.1707102597474063,0.2197668043193109,0.16592196772846754
Bhubaneswar,0.33772390210021863,0.2094448172396468,0.17255747654607378,0.19162117363258405,0.26828492917510066,1.0,0.24783575614038666,0.3270040901492307,0.24458333717402017,0.14202822109007388,0.15197841882117366,0.11082734676476723,0.2851284846373976,0.27600607452542586,0.19905829180594156,0.20759596366554361,0.23023824941796803,0.14689138527534173,0.2947891598859174,0.27915686283627833,0.2653230355643231,0.22573124160442182,0.2834241193566984,0.1922915045578154,0.3054202312062352,0.1843951304184439,0.14256803910624746,0.24303726355177574,0.21248072820375968
Chandigarh,0.23177704064895116,0.24264560875323882,0.1535484563892845,0.19285008160666464,0.2596812226626252,0.24783575614038666,1.0,0.20706004542839246,0.2623420473268155,0.18719441367066977,0.13904998612400785,0.13155787859583656,0.18591252738121158,0.2972966131462456,0.189872203805482,0.16219032380386691,0.36992929568091076,0.1267126538842842,0.25303019704908997,0.3665585553413502,0.22231652068997815,0.15858808894729268,0.3130771025913946,0.21828882342885583,0.292760117161388,0.1711016591874142,0.15649922253356197,0.15967596099208373,0.2029721764202322
Chennai,0.2680073195266637,0.22799390890876642,0.17620467588430958,0.24697937012569934,0.2900441101893395,0.3270040901492307,0.20706004542839246,1.0,0.20687026923320395,0.1218744883067024,0.14546647427269963,0.09780659740844576,0.23755651230751768,0.31901852289008376,0.20432431346839836,0.204560274302694,0.21505492174759727,0.14729884657843853,0.20213164240084183,0.2004222993478957,0.22297520882036923,0.2773558523147557,0.19766653875440782,0.1678458899380957,0.2701925773275065,0.19273149874881532,0.1410621730270029,0.29154312295270224,0.19804653022105717
Dehradun,0.24402028940719037,0.1947068974629734,0.21861807586361331,0.19332877226662787,0.26232296567868685,0.24458333717402017,0.2623420473268155,0.20687026923320395,1.0,0.13571660060238339,0.20208082887146286,0.10607215299591574,0.2611189095351391,0.2616086785596624,0.27662314213532846,0.24440390521383976,0.2481920292583033,0.16729072952082064,0.2037397020656022,0.22716961807259745,0.18671380584128078,0.17345484024269592,0.21004500037848528,0.1714456078681087,0.27716913378517016,0.25515326201486715,0.21933944845188616,0.19905969068699345,0.16665428704065294
Delhi,0.14373938674793268,0.1382023895045902,0.10294050368011927,0.11811339250972872,0.12696537420560797,0.14202822109007388,0.18719441367066977,0.12187448830670237,0.13571660060238339,1.0,0.09892981721160243,0.2595221098746331,0.11847864710030905,0.13726002784288044,0.11620827182165541,0.10470056238246368,0.15734211312692298,0.09391776242434295,0.19601453767628066,0.19658402222121127,0.15862981654706412,0.10727510963187951,0.1941441339435456,0.20382322337035583,0.1418676745482437,0.10699210997835092,0.10499277766429368,0.10427977213354582,0.1722084804818269
Gangtok,0.15644469943853287,0.12582953454712772,0.20524967189958437,0.15024986548375918,0.15760103000016382,0.15197841882117366,0.13904998612400785,0.14546647427269963,0.20208082887146286,0.09892981721160243,1.0,0.08402789719698879,0.19941229418000211,0.1521877367732161,0.20184737108462034,0.23385023513453232,0.13688732218390245,0.29512746437957155,0.135287989457676,0.13100351172054692,0.13713880498618017,0.1591904920661166,0.1279172279182241,0.11923698992018547,0.1605552670540289,0.25340760293114833,0.2366594508195377,0.1874474827741845,0.12100047685015038
Gurugram,0.11448805011460407,0.10889262479869471,0.08725649916829233,0.09662829437589103,0.1007887351830975,0.11082734676476722,0.13155787859583656,0.09780659740844576,0.10607215299591574,0.2595221098746331,0.08402789719698879,1.0,0.09734846462785729,0.10621296305440123,0.09553267705139126,0.08731895035859114,0.11985449705098956,0.08133316387899726,0.14028153863909099,0.14052671217500037,0.1191219808389968,0.09025976294361117,0.1392410056994409,0.14149996458790914,0.10903284794318037,0.08920022112920327,0.08846503960420261,0.08711265561548301,0.12729793723255012
Guwahati,0.3078795111499221,0.18121282516776274,0.25452942989951266,0.18543960271999707,0.22380597665457455,0.2851284846373976,0.18591252738121158,0.23755651230751768,0.2611189095351391,0.11847864710030905,0.19941229418000211,0.09734846462785729,1.0,0.21829325999087404,0.2671775787249847,0.37031192922909606,0.18408762196405376,0.2064072877229063,0.20933507456479028,0.18633174372824063,0.17804571985284304,0.2563775715157178,0.18085986684889752,0.15814946132082305,0.21125452849479245,0.22159230414998113,0.1596750430884748,0.28942555041621637,0.17349350973117375
Hyderabad,0.25433417052651225,0.3061332638106031,0.1838225326234101,0.28890310498303967,0.4480106857666258,0.27600607452542586,0.2972966131462456,0.31901852289008376,0.2616086785596624,0.13726002784288044,0.1521877367732161,0.10621296305440123,0.21829325999087404,1.0,0.23846829763355998,0.2002620082603023,0.3432197680827626,0.144934209053446,0.204828986102251,0.24044830884061838,0.21240706000529921,0.21374528683898278,0.2208294277340716,0.18345040068586405,0.3354168058225547,0.21278845919161532,0.1668216077341522,0.21737093603460528,0.19170598262445
