,PM2_5_ugm3,PM10_ugm3,CO_ugm3,NO2_ugm3,SO2_ugm3,O3_ugm3
PM2_5_ugm3,1.0,0.6705074795717988,0.7167768166281667,0.6341739215598379,0.5878482215395361,0.05888381985551111
PM10_ugm3,0.6705074795717988,1.0,0.36288233489365224,0.3303708064659684,0.31779442783702627,0.0987680237728489
CO_ugm3,0.7167768166281667,0.36288233489365224,1.0,0.7845268264803409,0.6033362484306423,-0.18549556598581227
NO2_ugm3,0.6341739215598379,0.3303708064659684,0.7845268264803409,1.0,0.619505846735743,-0.3553380396481
SO2_ugm3,0.5878482215395361,0.31779442783702627,0.6033362484306423,0.619505846735743,1.0,0.014482537583965071
O3_ugm3,0.05888381985551111,0.0987680237728489,-0.18549556598581227,-0.3553380396481,0.014482537583965071,1.0
