Feature,Mutual Information,F Score
CO_ugm3_Lag_24H,0.3367291657640168,122215.86552568134
CO_ugm3_Lag_1H,0.3328551823685304,120404.0095077324
NO2_ugm3_RollingMax_12H,0.33118699455404865,141841.17905993556
CO_ugm3_Lag_6H,0.33077144339255504,122475.06859898227
CO_ugm3_Lag_3H,0.3254716082100648,119890.65118072914
NO2_ugm3_Volatility_24H,0.30037182070401514,142968.7379285586
NO2_ugm3_RollingStd_24H,0.3002781673680346,142967.16845768184
Lat_Long_Interaction,0.29840356826847003,4782.78098818834
Latitude,0.2975918940639355,20452.988903840633
Absolute_Latitude,0.2964512295396924,20452.988903840633
Longitude,0.29608766011579757,20492.29374026502
O3_ugm3_RollingMax_6H,0.2883015530408901,105013.53540131752
CO_ugm3_Volatility_24H,0.28514149618646556,105287.86221334375
CO_ugm3_RollingStd_24H,0.2850899963665139,105288.02348073135
SO2_ugm3_RollingStd_12H,0.2788758155426372,72805.2868081412
NO2_ugm3_EMA_24H,0.27356462779568425,155323.13798663154
Day_of_Year,0.2734223643637721,10356.546291623787
O3_ugm3_RollingMean_24H,0.2623520546040865,139762.63682214558
O3_ugm3_RollingMean_12H,0.2613743677199647,95347.60154414037
O3_ugm3_EMA_24H,0.2603137762526444,134111.7343355487
O3_ugm3_EMA_12H,0.2522658187425417,105287.84411654259
Minimum_Pollution,0.25221136089758733,137391.30486784547
PM2_5_ugm3_RollingStd_6H,0.2520412980518767,242346.4623620744
PM10_ugm3_RollingStd_6H,0.24729071510338052,522430.85928052483
NO2_ugm3_RollingMax_6H,0.2451061163189605,120466.89327963418
NO2_ugm3_EMA_12H,0.23401925417471148,133882.95525510577
AOD,0.22859472641749168,148357.56709387642
O3_ugm3_Lag_6H,0.22766995270642898,59122.77863341767
SO2_ugm3_RollingStd_6H,0.22235297087924089,56773.00270819225
NO2_ugm3_RollingMean_12H,0.22133049807265515,126903.73139922769
O3_ugm3_RollingStd_12H,0.2161707467755427,140503.6489239895
