Model,MAE,RMSE,R2,Training Time,Inference Time,Baseline RMSE,Baseline MAE,Baseline R2,RMSE Improvement (%),R2 Improvement (%)
HistGradient Boosting,16.611809191917313,22.575671931457315,0.7706807921629846,23.420810499985237,0.034701199998380616,28.42105127356504,17.36001160786699,0.8536090565078133,20.567076445707073,-56.64810669670135
LightGBM,13.317211344735288,18.56801509739826,0.8448720607108804,18.706406000012066,0.042510999977821484,31.172513019646743,19.137529560249696,0.823892616922186,40.43465444798882,11.912802458372806
XGBoost,17.408710543780547,23.89177201396357,0.7431640659739995,13.621853299991926,0.02312640001764521,32.458146394727414,18.6068586036675,0.8090668388208477,26.392062801698952,-34.51596740984033
CatBoost,14.6937710469617,20.352556575610084,0.8136209886979644,108.55185129999882,0.032444899989059195,,,,,
