,PM2_5_ugm3,PM10_ugm3,CO_ugm3,NO2_ugm3,SO2_ugm3,O3_ugm3
PM2_5_ugm3,1.0,0.9509186758356326,0.7546342509469159,0.5461984548492067,0.716462511310159,0.15287162503606427
PM10_ugm3,0.9509186758356326,1.0,0.652738548449168,0.4830051274303955,0.6998256569075121,0.17542337150436685
CO_ugm3,0.7546342509469159,0.652738548449168,1.0,0.7247197024310807,0.6280179958295594,-0.10298252065208524
NO2_ugm3,0.5461984548492067,0.4830051274303955,0.7247197024310807,1.0,0.617235296557891,-0.4395244095165941
SO2_ugm3,0.716462511310159,0.6998256569075121,0.6280179958295594,0.617235296557891,1.0,0.11190690524359956
O3_ugm3,0.15287162503606427,0.17542337150436685,-0.10298252065208524,-0.4395244095165941,0.11190690524359956,1.0
