Model,R2,RMSE,MAE,Training Time,Inference Time
LightGBM,0.8448720607108804,18.56801509739826,13.317211344735288,18.706406000012066,0.042510999977821484
CatBoost,0.8136209886979644,20.352556575610084,14.6937710469617,108.55185129999882,0.032444899989059195
HistGradient Boosting,0.7706807921629846,22.575671931457315,16.611809191917313,23.420810499985237,0.034701199998380616
XGBoost,0.7431640659739995,23.89177201396357,17.408710543780547,13.621853299991926,0.02312640001764521
