,Mean,Median,Mode,Std,Variance,Minimum,Q1,Q3,Maximum,IQR,Skewness,Kurtosis
PM2_5_ugm3,34.73964246698964,25.9,13.4,30.843496114789147,951.3212525830131,0.1,14.7,44.2,581.1,29.500000000000004,2.5428533421546824,10.50788591117613
PM10_ugm3,56.25708262087964,39.0,19.2,83.83703321529296,7028.648138342134,0.1,21.5,66.4,3263.4,44.900000000000006,13.341534142761848,303.17660033534065
CO_ugm3,450.891150137741,333.0,246.0,434.5521485550658,188835.56981382397,56.0,235.0,508.0,14504.0,273.0,5.937168500830822,70.01589317727563
NO2_ugm3,16.132839959152655,9.0,0.9,20.81340091098424,433.1976574813596,0.0,3.7,19.9,336.0,16.2,3.112241974048324,14.03901309149259
SO2_ugm3,13.599056117602355,6.9,0.6,20.617018155397144,425.0614376199754,0.0,2.8,15.8,424.6,13.0,4.475131587064525,31.324265550692548
O3_ugm3,80.47982865488743,73.0,52.0,46.19562520431967,2134.0357880179745,0.0,47.0,108.0,930.0,61.0,1.1372953516855928,4.12392231583839
