Season,Mean_Absolute_Error,Max_Absolute_Error
Monsoon,11.33490697639265,296.3602325925455
Post_Monsoon,14.18655705375532,130.98836364888993
Summer,15.69790171192123,308.56555550540827
Winter,13.236517678477771,116.00088750297942
