,PM2_5_ugm3,PM10_ugm3,CO_ugm3,NO2_ugm3,SO2_ugm3,O3_ugm3
PM2_5_ugm3,1.0,0.8276213940457168,0.5596929744931839,0.3836758600878858,0.5263911017246499,0.11037135411890901
PM10_ugm3,0.8276213940457168,1.0,0.47321092425112543,0.3372514718518493,0.5100952328513912,0.1241898737999787
CO_ugm3,0.5596929744931839,0.47321092425112543,1.0,0.5316641788852796,0.4457322126832014,-0.06425413597663937
NO2_ugm3,0.3836758600878858,0.3372514718518493,0.5316641788852796,1.0,0.4390895296134059,-0.3055494524666982
SO2_ugm3,0.5263911017246499,0.5100952328513912,0.4457322126832014,0.4390895296134059,1.0,0.0810002816315287
O3_ugm3,0.11037135411890901,0.1241898737999787,-0.06425413597663937,-0.3055494524666982,0.0810002816315287,1.0
